Country,Rank in Country,Author Name,Paper Count
Arab,1,"Ahmad, Muhammad Nasar",6
Arab,2,"Ulvi, Ali",2
Arab,3,"Sarif, Md.Omar",1
Arab,4,"Heidarian, Hassan",1
Arab,5,"Nadeem, Muhammad Imran",1
Canada,1,"Roy, Arijit",1
China,1,"Shao, Zhenfeng",12
China,2,"Huang, Xiao",9
China,3,"Qin, Rongjun",8
China,4,"Cheng, Qimin",8
China,5,"Zhu, Qing",7
France,1,"Berveglieri, Adilson",1
France,2,"Moradi, Behrooz",1
France,3,"Bertin, Stephane",1
Germany,1,"Schleeweis, Karen",1
Germany,2,"Schuegraf, Philipp",1
Germany,3,"Bayram, Bülent",1
Germany,4,"Schultz, Lori",1
Germany,5,"Schilling, Erik",1
India,1,"Sharma, Shilpi",1
India,2,"Kumar, Mahesh",1
India,3,"Pundir, Sunil Kumar",1
India,4,"Singh, Neetu",1
India,5,"Gupta, Meeta",1
Japan,1,"Sakamoto, Toshihiro",3
Japan,2,"Hasan, Amit",2
Japan,3,"Hassan, Faez M.",1
Japan,4,"Ogawa, Daisuke",1
Japan,5,"Hashemi-Beni, Leila",1
Korea,1,"Hong, Zhonghua",2
Korea,2,"Jung, Jaehoon",2
Korea,3,"Ahn, Yoonjung",1
Korea,4,"Hong, Ran",1
Korea,5,"Lee, Ju Hyoung",1
Netherlands,1,"van Liempt, Jordi",1
Netherlands,2,"van Aardt, Jan",1
Netherlands,3,"Van Colen, Carl",1
Netherlands,4,"De Wulf, Alain",1
Saudi Arabia,1,"Sadeq, Haval Abduljabbar",1
Saudi Arabia,2,"Ahmad, Touseef",1
Saudi Arabia,3,"Ahmad, Israr",1
Saudi Arabia,4,"Ahmad, Hafiz Haroon",1
Spain,1,"Diaz, Jeremy",1
Spain,2,"Torres, Fernanda Magri",1
Turkey,1,"Yiğit, Abdurahman Yasin",2
Turkey,2,"Fidan, Şafak",1
Turkey,3,"Kaya, Yunus",1
Turkey,4,"Şenol, Halil İbrahim",1
Turkey,5,"Kayı, Abdullah",1
USA,1,"Williams, Darrel L.",2
USA,2,"Miller, Steven",1
USA,3,"Brown, Jesslyn",1
USA,4,"Marchand, Yanis",1
USA,5,"Thomas, Orrin",1
